year_mon_day,hour,wind_dir_avg_10,wind_speed_h_avg,wind_speed_avg_10,air_pressure,humidity,full_datetime,capacity,volume,percentage,emission,emissionfactor,correct_days
20170909,20,192.21941552899384,22.41379310344828,23.448275862068964,10003.444444444443,93.04,2017-09-09-20,81289,81289,0.0943790003657341,0,0,2017-09-09-20
20170909,21,190.6962864830936,23.33333333333333,22.666666666666668,10006.315789473683,94.0,2017-09-09-21,86737,86737,0.1007049977779388,0,0,2017-09-09-21
20170909,22,187.64858590642237,23.33333333333333,23.666666666666668,10009.315789473683,94.1153846153846,2017-09-09-22,50452,50452,0.0585730001330375,0,0,2017-09-09-22
20170909,23,190.64733340100167,25.0,25.33333333333333,10010.894736842103,94.5,2017-09-09-23,53116,53116,0.0616689994931221,0,0,2017-09-09-23
20170909,24,189.4397493266034,25.33333333333333,25.666666666666668,10013.368421052632,95.3846153846154,2017-09-09-24,64598,64598,0.0750010013580322,0,0,2017-09-09-24
20170910,1,197.76183312308495,28.33333333333333,28.666666666666668,10016.736842105263,95.34615384615384,2017-09-10-01,82495,82495,0.095780000090599,0,0,2017-09-10-01
20170910,2,196.66011327994957,29.33333333333333,30.33333333333333,10019.526315789471,95.57692307692308,2017-09-10-02,167921,167921,0.1949589997529983,0,0,2017-09-10-02
20170910,3,194.364902292294,31.666666666666668,33.666666666666664,10019.842105263158,95.8846153846154,2017-09-10-03,204470,204470,0.2373960018157959,0,0,2017-09-10-03
20170910,4,196.335228005891,33.0,32.666666666666664,10020.894736842103,96.0,2017-09-10-04,315994,315994,0.3668819963932037,0,0,2017-09-10-04
20170910,5,196.6265879515269,33.333333333333336,34.666666666666664,10023.21052631579,96.23076923076924,2017-09-10-05,402048,402048,0.4667910039424896,0,0,2017-09-10-05
20170910,6,187.2872421639522,34.0,35.333333333333336,10026.684210526317,95.92307692307692,2017-09-10-06,393867,393867,0.4572969973087311,0,0,2017-09-10-06
20170910,7,193.67671401627803,41.333333333333336,42.66666666666666,10027.684210526317,92.96153846153848,2017-09-10-07,492950,492950,0.5723329782485962,0,0,2017-09-10-07
20170910,8,202.65588579649997,47.66666666666666,52.0,10029.368421052632,88.07692307692308,2017-09-10-08,452291,452291,0.5251250267028809,0,0,2017-09-10-08
20170910,9,206.66703101677624,53.66666666666666,56.66666666666666,10031.105263157897,82.65384615384616,2017-09-10-09,411600,411600,0.4778819978237152,0,0,2017-09-10-09
20170910,10,208.31261180023284,61.66666666666666,63.66666666666666,10029.0,77.65384615384616,2017-09-10-10,478190,478190,0.5551980137825012,0,0,2017-09-10-10
