year_mon_day,hour,wind_dir_avg_10,wind_speed_h_avg,wind_speed_avg_10,air_pressure,humidity,full_datetime,capacity,volume,percentage,emission,emissionfactor,correct_days
20230317,9,191.94558741940665,56.0,56.66666666666666,10057.0,71.14285714285714,2023-03-17-09,921250,921250,0.4194270074367523,0,0,2023-03-17-09
20230317,10,201.9910357967875,53.333333333333336,53.333333333333336,10064.0,68.85714285714286,2023-03-17-10,817000,817000,0.3719637393951416,0,0,2023-03-17-10
20230317,11,202.906910504421,53.333333333333336,50.66666666666666,10067.0,67.85714285714286,2023-03-17-11,667001,667001,0.3036722540855407,0,0,2023-03-17-11
20230317,12,205.3754996056828,45.333333333333336,42.66666666666666,10065.75,71.71428571428571,2023-03-17-12,555249,555249,0.2527934908866882,0,0,2023-03-17-12
20230317,13,201.8576252033246,40.66666666666666,41.333333333333336,10063.5,74.42857142857143,2023-03-17-13,489751,489751,0.2229740023612976,0,0,2023-03-17-13
20230317,14,180.3093773099505,34.666666666666664,34.0,10060.25,76.0,2023-03-17-14,209500,209500,0.0953811779618263,0,0,2023-03-17-14
20230317,15,187.8896185527896,30.666666666666668,24.666666666666668,10060.5,78.85714285714286,2023-03-17-15,177750,177750,0.0809260532259941,0,0,2023-03-17-15
20230317,16,168.1936653787266,26.0,25.33333333333333,10058.25,79.57142857142857,2023-03-17-16,212000,212000,0.0965195223689079,0,0,2023-03-17-16
20230317,17,92.15387013153706,28.0,24.666666666666668,10058.75,83.0,2023-03-17-17,253000,253000,0.1151859238743782,0,0,2023-03-17-17
20230317,18,130.3727291243395,30.0,30.666666666666668,10059.75,84.71428571428571,2023-03-17-18,289249,289249,0.1316892504692077,0,0,2023-03-17-18
20230317,19,128.95319701887826,32.142857142857146,33.57142857142857,10063.666666666666,84.83333333333333,2023-03-17-19,539250,539250,0.2455097436904907,0,0,2023-03-17-19
20230317,20,160.30773809962778,30.0,28.571428571428573,10062.25,88.0,2023-03-17-20,364001,364001,0.1657222509384155,0,0,2023-03-17-20
20230317,21,195.03787573157905,28.666666666666668,30.0,10062.25,88.85714285714286,2023-03-17-21,321999,321999,0.1465997546911239,0,0,2023-03-17-21
20230317,22,191.5876042576623,34.666666666666664,38.66666666666666,10062.25,89.0,2023-03-17-22,384500,384500,0.1750552505254745,0,0,2023-03-17-22
20230317,23,199.38138710052365,37.333333333333336,37.333333333333336,10065.75,88.42857142857143,2023-03-17-23,327249,327249,0.1489900052547454,0,0,2023-03-17-23
20230317,24,215.14301156496063,36.66666666666666,36.0,10067.75,90.85714285714286,2023-03-17-24,368500,368500,0.167770504951477,0,0,2023-03-17-24
20230318,1,223.1545899313194,37.333333333333336,38.0,10068.0,93.85714285714286,2023-03-18-01,356500,356500,0.162307322025299,0,0,2023-03-18-01
20230318,2,215.2607210727365,38.0,40.0,10068.5,93.71428571428572,2023-03-18-02,262000,262000,0.119283452630043,0,0,2023-03-18-02
