,year_mon_day,hour,wind_dir_avg_10,wind_speed_h_avg,wind_speed_avg_10,air_pressure,humidity,full_datetime,capacity,volume,percentage,emission,emissionfactor,correct_days,date,month,week_number,max_capacity,log_volume,ratio_VC,prijs_excl_belastingen
2017-01-03 21:00:00,20170103,21,282.14262604983526,107.85714285714286,106.42857142857144,10153.25,88.28571428571429,2017-01-03-22,894500,894500,1.0385459661483765,0,0,2017-01-03-22,2017-01-03,2017-01,1,861300.3460187754,13.70402129987327,1.0385459661483765,0.0349
2017-01-03 22:00:00,20170103,22,285.0109028983863,107.85714285714286,108.57142857142856,10148.0,88.85714285714286,2017-01-03-23,895001,895001,1.039126992225647,0,0,2017-01-03-23,2017-01-03,2017-01,1,861300.8868945347,13.704581231891368,1.039126992225647,0.0356
2017-01-03 23:00:00,20170103,23,287.1566599546897,109.28571428571428,110.71428571428572,10143.25,86.42857142857143,2017-01-03-24,895251,895251,1.039417028427124,0,0,2017-01-03-24,2017-01-03,2017-01,1,861301.0711924931,13.70486052187103,1.039417028427124,0.0326
2017-01-04 00:00:00,20170104,0,294.9560534995388,112.85714285714286,112.14285714285714,10139.0,84.57142857142857,2017-01-04-01,888751,888751,1.0318700075149536,0,0,2017-01-04-01,2017-01-04,2017-01,1,861301.3204447852,13.697573510448674,1.0318700075149536,0.0449
2017-01-04 01:00:00,20170104,1,296.3611127209144,112.85714285714286,111.42857142857144,10135.5,83.57142857142857,2017-01-04-02,879498,879498,1.0211310386657717,0,0,2017-01-04-02,2017-01-04,2017-01,1,861297.8811702443,13.687107706149439,1.0211310386657717,0.0302
2017-01-04 02:00:00,20170104,2,306.4333083327768,117.85714285714286,119.28571428571428,10134.5,76.0,2017-01-04-03,887249,887249,1.0301289558410645,0,0,2017-01-04-03,2017-01-04,2017-01,1,861298.961619414,13.695882070508743,1.0301289558410645,0.0281
2017-01-04 03:00:00,20170104,3,312.8745629758373,117.14285714285714,117.85714285714286,10132.0,70.85714285714286,2017-01-04-04,885249,885249,1.0278069972991943,0,0,2017-01-04-04,2017-01-04,2017-01,1,861298.8647929046,13.69362536997415,1.0278069972991943,0.0269
2017-01-04 04:00:00,20170104,4,314.2901893096752,115.71428571428572,120.71428571428572,10131.5,69.28571428571429,2017-01-04-05,876750,876750,1.0179380178451538,0,0,2017-01-04-05,2017-01-04,2017-01,1,861299.9854902453,13.683978308577766,1.0179380178451538,0.027
2017-01-04 05:00:00,20170104,5,317.8511595871461,118.57142857142856,120.0,10132.75,72.85714285714286,2017-01-04-06,879251,879251,1.0208410024642944,0,0,2017-01-04-06,2017-01-04,2017-01,1,861300.6314181166,13.68682682499955,1.0208410024642944,0.028
2017-01-04 06:00:00,20170104,6,320.7145047580023,119.28571428571428,125.0,10136.25,75.57142857142857,2017-01-04-07,891999,891999,1.0356440544128418,0,0,2017-01-04-07,2017-01-04,2017-01,1,861298.8180632376,13.701221411562146,1.0356440544128418,0.0299
2017-01-04 07:00:00,20170104,7,321.3928950751188,125.0,120.71428571428572,10138.25,77.0,2017-01-04-08,886000,886000,1.028678059577942,0,0,2017-01-04-08,2017-01-04,2017-01,1,861299.5987914026,13.694473358254752,1.028678059577942,0.0321
2017-01-04 08:00:00,20170104,8,322.2099282930704,127.14285714285714,124.28571428571428,10142.0,73.28571428571429,2017-01-04-09,881749,881749,1.0237430334091189,0,0,2017-01-04-09,2017-01-04,2017-01,1,861299.1456105238,13.689663848098299,1.0237430334091189,0.0344
2017-01-04 09:00:00,20170104,9,325.719188584072,127.14285714285714,129.28571428571428,10147.75,72.85714285714286,2017-01-04-10,891252,891252,1.0347729921340942,0,0,2017-01-04-10,2017-01-04,2017-01,1,861301.9539308815,13.700383616763883,1.0347729921340942,0.0351
2017-01-04 10:00:00,20170104,10,325.01104558608284,130.0,129.28571428571428,10149.25,73.14285714285714,2017-01-04-11,871500,871500,1.011842966079712,0,0,2017-01-04-11,2017-01-04,2017-01,1,861299.6573732609,13.677972291388485,1.011842966079712,0.0408
2017-01-04 11:00:00,20170104,11,327.8573739501647,133.57142857142858,135.71428571428572,10151.75,75.57142857142857,2017-01-04-12,895002,895002,1.039126992225647,0,0,2017-01-04-12,2017-01-04,2017-01,1,861301.8492408191,13.704582349206682,1.039126992225647,0.0418
2017-01-04 12:00:00,20170104,12,332.80285622831366,139.28571428571428,137.14285714285714,10153.0,73.85714285714286,2017-01-04-13,894250,894250,1.038256049156189,0,0,2017-01-04-13,2017-01-04,2017-01,1,861300.0624718483,13.70374177537616,1.038256049156189,0.0428
2017-01-04 13:00:00,20170104,13,329.28705085069305,132.85714285714286,139.28571428571428,10155.75,71.71428571428571,2017-01-04-14,886751,886751,1.0295480489730835,0,0,2017-01-04-14,2017-01-04,2017-01,1,861301.2291019195,13.695320628060447,1.0295480489730835,0.0361
2017-01-04 14:00:00,20170104,14,336.45223454565246,132.14285714285714,131.42857142857142,10162.5,70.85714285714286,2017-01-04-15,889750,889750,1.033030986785889,0,0,2017-01-04-15,2017-01-04,2017-01,1,861300.3979370601,13.698696927283018,1.033030986785889,0.0293
2017-01-04 15:00:00,20170104,15,338.6655562332064,123.57142857142856,120.66666666666669,10172.0,73.57142857142857,2017-01-04-16,886251,886251,1.0289679765701294,0,0,2017-01-04-16,2017-01-04,2017-01,1,861300.8569558699,13.694756613525504,1.0289679765701294,0.0263
2017-01-04 16:00:00,20170104,16,339.36747487170777,120.66666666666669,118.0,10181.5,71.0,2017-01-04-17,888500,888500,1.0315799713134766,0,0,2017-01-04-17,2017-01-04,2017-01,1,861300.1654817924,13.697291052068612,1.0315799713134766,0.027
2017-01-04 17:00:00,20170104,17,344.6916205295204,115.33333333333331,110.66666666666669,10191.0,67.42857142857143,2017-01-04-18,890501,890501,1.0339020490646362,0,0,2017-01-04-18,2017-01-04,2017-01,1,861301.1269352158,13.699540627638585,1.0339020490646362,0.03
2017-01-04 18:00:00,20170104,18,353.3022324245467,109.33333333333331,107.33333333333331,10201.5,63.142857142857146,2017-01-04-19,891751,891751,1.0353540182113647,0,0,2017-01-04-19,2017-01-04,2017-01,1,861300.5641689135,13.700943345999672,1.0353540182113647,0.035
2017-01-04 19:00:00,20170104,19,352.0032531417449,99.33333333333331,94.0,10208.75,62.57142857142857,2017-01-04-20,881499,881499,1.0234529972076416,0,0,2017-01-04-20,2017-01-04,2017-01,1,861298.9579443857,13.689380280820062,1.0234529972076416,0.0391
2017-01-04 20:00:00,20170104,20,349.99999999999994,91.33333333333331,88.0,10214.75,64.42857142857143,2017-01-04-21,853000,853000,0.9903630018234252,0,0,2017-01-04-21,2017-01-04,2017-01,1,861300.3499014839,13.656515998806071,0.9903630018234252,0.0396
2017-01-04 21:00:00,20170104,21,348.7333372994101,86.66666666666667,87.33333333333333,10222.75,66.0,2017-01-04-22,833499,833499,0.96772301197052,0,0,2017-01-04-22,2017-01-04,2017-01,1,861299.1420993418,13.633388981172986,0.96772301197052,0.039
2017-01-04 22:00:00,20170104,22,347.9609402818656,83.33333333333333,82.0,10230.0,73.0,2017-01-04-23,869501,869501,1.0095210075378418,0,0,2017-01-04-23,2017-01-04,2017-01,1,861300.550961944,13.675675912946343,1.0095210075378418,0.038
2017-01-04 23:00:00,20170104,23,345.9699463452039,86.0,90.66666666666669,10233.5,72.71428571428571,2017-01-04-24,789750,789750,0.9169279932975768,0,0,2017-01-04-24,2017-01-04,2017-01,1,861299.9120681193,13.579472984887019,0.9169279932975769,0.0407
2017-01-05 00:00:00,20170105,0,348.9506109962317,85.33333333333333,82.0,10239.75,77.0,2017-01-05-01,811250,811250,0.9418900012969972,0,0,2017-01-05-01,2017-01-05,2017-01,1,861300.1506363759,13.606332779665317,0.9418900012969973,0.032
2017-01-05 01:00:00,20170105,1,3.8826617663559775,82.66666666666667,80.0,10248.75,79.42857142857143,2017-01-05-02,547500,547500,0.6356670260429382,0,0,2017-01-05-02,2017-01-05,2017-01,1,861299.9850066429,13.213119567155143,0.6356670260429382,0.032
2017-01-05 02:00:00,20170105,2,358.2197630385703,79.33333333333333,81.33333333333333,10255.5,73.42857142857143,2017-01-05-03,685749,685749,0.796180009841919,0,0,2017-01-05-03,2017-01-05,2017-01,1,861298.9418512969,13.43826840879985,0.796180009841919,0.03
2017-01-05 03:00:00,20170105,3,7.243395902524599,83.33333333333333,80.66666666666667,10265.5,78.57142857142857,2017-01-05-04,734750,734750,0.8530709743499756,0,0,2017-01-05-04,2017-01-05,2017-01,1,861299.9645895419,13.507286945287383,0.8530709743499756,0.0295
