,year_mon_day,hour,wind_dir_avg_10,wind_speed_h_avg,wind_speed_avg_10,air_pressure,humidity,full_datetime,capacity,volume,percentage,emission,emissionfactor,correct_days,date,month,week_number,max_capacity,log_volume,ratio_VC,prijs_excl_belastingen
2017-01-02 07:00:00,20170102,7,309.967238422369,34.333333333333336,32.0,10225.157894736842,87.92307692307692,2017-01-02-08,827969,827969,0.9612990021705629,0,0,2017-01-02-08,2017-01-02,2017-01,1,861302.2567697348,13.626732200826948,0.9612990021705629,0.0604
2017-01-02 08:00:00,20170102,8,304.3064461100888,30.666666666666668,28.666666666666668,10230.315789473683,88.03846153846153,2017-01-02-09,827964,827964,0.9612939953804016,0,0,2017-01-02-09,2017-01-02,2017-01,1,861301.5414419181,13.626726161942571,0.9612939953804016,0.0729
2017-01-02 09:00:00,20170102,9,308.84019999391563,29.666666666666668,30.0,10234.473684210529,84.92307692307692,2017-01-02-10,798299,798299,0.9268530011177064,0,0,2017-01-02-10,2017-01-02,2017-01,1,861300.5503972246,13.590239745633891,0.9268530011177064,0.0659
2017-01-02 10:00:00,20170102,10,305.58280028072915,30.33333333333333,33.666666666666664,10236.473684210529,81.15384615384616,2017-01-02-11,764860,764860,0.8880280256271362,0,0,2017-01-02-11,2017-01-02,2017-01,1,861301.6458121877,13.547449396952942,0.8880280256271362,0.065
2017-01-02 11:00:00,20170102,11,314.0115004846902,38.0,40.333333333333336,10237.526315789471,78.8076923076923,2017-01-02-12,800999,800999,0.9299870133399964,0,0,2017-01-02-12,2017-01-02,2017-01,1,861301.2746524888,13.593616226050496,0.9299870133399964,0.0629
2017-01-02 12:00:00,20170102,12,311.3438089730568,40.0,40.66666666666666,10239.21052631579,77.92307692307692,2017-01-02-13,792888,792888,0.9205719828605652,0,0,2017-01-02-13,2017-01-02,2017-01,1,861299.2951797177,13.583438516040282,0.9205719828605652,0.0566
2017-01-02 13:00:00,20170102,13,315.5540300393543,41.37931034482759,38.96551724137931,10239.315789473683,78.52,2017-01-02-14,790243,790243,0.9174990057945251,0,0,2017-01-02-14,2017-01-02,2017-01,1,861301.205787874,13.580097037515033,0.917499005794525,0.0538
2017-01-02 14:00:00,20170102,14,300.8140629449654,32.666666666666664,28.33333333333333,10241.736842105263,81.96153846153847,2017-01-02-15,764650,764650,0.8877859711647034,0,0,2017-01-02-15,2017-01-02,2017-01,1,861299.9358357072,13.54717479956329,0.8877859711647034,0.0501
2017-01-02 15:00:00,20170102,15,294.42056379596625,32.0,32.333333333333336,10244.526315789471,84.42307692307692,2017-01-02-16,773980,773980,0.8986200094223022,0,0,2017-01-02-16,2017-01-02,2017-01,1,861298.4263477175,13.559302604466945,0.8986200094223022,0.0521
2017-01-02 16:00:00,20170102,16,291.59342399554964,33.333333333333336,34.666666666666664,10247.631578947368,87.1923076923077,2017-01-02-17,738621,738621,0.8575649857521057,0,0,2017-01-02-17,2017-01-02,2017-01,1,861300.3239074775,13.51254156703878,0.8575649857521057,0.057
